case,leak_strength,leak_x,leak_y,leak_z,S01_ceiling_grid,S02_ceiling_grid,S03_ceiling_grid,S04_ceiling_grid,S05_ceiling_grid,S06_ceiling_grid,S07_ceiling_grid,S08_ceiling_grid,S09_ceiling_grid,S10_ceiling_grid,S11_ceiling_grid,S12_ceiling_grid,S13_ceiling_grid,S14_ceiling_grid,S15_ceiling_grid,S16_ceiling_grid,S17_ceiling_grid,S18_ceiling_grid,S19_ceiling_grid,S20_ceiling_grid,S21_outlet_low,S22_outlet_mid,S23_outlet_high,S24_outlet_high_right,S25_robot_reference
leak_001_center_floor_medium,medium,4.0,3.0,0.0,2.1706395999999998e-41,1.4454847e-28,3.7547192999999996e-19,1.5705326e-14,6.9552517e-12,9.8177446e-33,1.2789696e-17,2.721639e-07,0.00098310552,0.002080979,9.8177446e-33,1.2789696e-17,2.721639e-07,0.00098310552,0.002080979,2.1706343999999998e-41,1.4454846e-28,3.7547192999999996e-19,1.5705326e-14,6.9552689e-12,0.00061264981,0.013155637,0.0018243233,0.0051138012,2.4086941
leak_002_near_inlet_floor_medium,medium,0.8,3.0,0.0,4.0358786999999997e-19,1.7746155e-14,5.6704792e-12,4.0218941e-10,6.2687015e-09,2.8161422e-07,0.0010232171,0.0021338777,0.0023717413,0.0039300278,2.8161422e-07,0.0010232171,0.0021338777,0.0023717413,0.0039300278,4.0358786999999997e-19,1.7746155e-14,5.6704792e-12,4.0218942e-10,6.2687053e-09,3.5755216e-10,6.88849e-08,0.00058846459,0.00097819527,9.8450607e-07
leak_003_near_outlet_floor_medium,medium,7.2,3.0,0.0,2.2669475000000003e-75,1.9426256e-58,6.1948417e-42,8.993062199999999e-29,3.6054546999999996e-19,5.3047568e-66,7.1663777e-49,7.65519e-32,1.1571324e-17,2.7833926e-07,5.2959849e-66,7.1629965e-49,7.6549959e-32,1.1571328e-17,2.7833928e-07,2.2493101e-75,1.9364918e-58,6.1915504e-42,8.9935964e-29,3.6057167999999997e-19,0.6856712,0.12405303,9.0122331e-05,0.00039678701,6.9064186e-35
leak_004_left_corner_floor_small,small,1.0,0.8,0.0,8.8973632e-05,0.23373606,0.053590824,0.02661492,0.024454953,1.8562923e-11,2.9303236e-07,4.4075241e-06,3.2443819e-05,0.00012278612,4.9135587e-23,2.3393412e-17,3.0058171e-14,3.4326643e-12,1.2359622e-10,9.4834568e-34,1.4107752e-27,1.3229232e-23,1.0696538e-20,2.2917202e-18,3.0733422e-21,8.6290691e-15,5.3911018e-06,6.8957818e-11,1.568128e-20
leak_005_right_corner_floor_large,large,7.0,5.2,0.0,8.0550387e-99,4.2692307e-80,1.7975766e-64,2.8311818e-51,2.8297056e-41,1.1513247000000001e-83,8.130157100000001e-65,4.9906474e-49,1.4008101999999998e-35,2.0210822e-25,1.8316211999999998e-71,1.9836916e-52,2.6081644e-36,3.246156e-22,1.2927982e-11,3.8657849e-66,6.6651158e-47,2.4679492e-30,2.0632719e-15,0.00028710892,5.4618125e-17,3.1103515e-16,1.3826435000000002e-22,6.511054e-11,1.9701925e-48
leak_006_under_sensors_floor_medium,medium,4.8,3.5,0.0,1.9608618999999999e-50,2.5226472e-38,9.6212799e-28,3.4597342e-20,2.0212932000000002e-16,9.8346447e-42,8.2412378e-28,2.6539874e-15,7.2729484e-08,4.5402027e-06,4.1279105000000005e-38,7.432597599999999e-23,1.9545261e-09,0.045405299,0.35176707,5.3615497e-45,5.2337815e-32,3.6247159e-20,1.0893476e-12,3.3773197e-10,0.001174486,0.01369887,1.5988497e-05,0.28623824,1.1126623e-10
leak_007_random_medium,medium,4.976,0.625,0.0,4.4569012e-40,1.2285533999999999e-23,5.2357276e-10,0.02946719,0.66328557,5.9263256e-45,2.0124642e-30,4.9351974e-18,2.0126042e-10,7.9545376e-08,3.1688818000000003e-54,3.4343443999999996e-41,9.1455566e-31,2.4575032e-23,8.7644811e-19,9.853550900000001e-67,4.1283136000000005e-54,2.4075248e-44,5.2021159e-37,9.396632e-32,4.9551257000000003e-17,2.8750865e-15,1.0053429e-08,4.197916099999999e-18,1.2905848e-30
leak_008_random_small,small,2.214,1.198,0.0,4.0550264e-14,0.00019981576,0.013421779,0.0062035902,0.0079817999,8.426677e-16,2.7482913e-06,0.00035816217,0.00059731475,0.0014939441,1.1997555000000001e-26,2.1435948e-18,3.5871096e-14,1.1936389e-11,6.7897853e-10,8.1021922e-37,4.6494622e-29,4.8922694e-24,1.5371877e-20,7.2283542e-18,1.0007746e-16,8.4230985e-14,3.1303336e-05,4.1516543e-10,3.3837146000000005e-16
leak_009_random_small,small,5.237,4.961,0.0,1.0754636999999999e-57,9.894849599999999e-47,8.4666988e-37,7.2394848e-30,6.533684699999999e-25,4.6163807e-48,9.675874599999999e-37,3.7037917000000004e-26,5.7209318e-19,1.2341737e-14,5.7835751e-41,1.3979269e-28,1.5572644e-15,1.5319914e-07,1.9259539e-05,4.2826303e-39,7.0886677e-26,1.02412e-11,0.0018083168,0.042503339,2.3665053e-13,1.2594194e-11,3.3904728e-14,1.7595788e-06,1.4936225e-26
leak_010_random_small,small,4.633,0.659,0.0,1.4033990000000001e-33,1.0112136e-19,1.8803389e-06,0.24085128,0.14966979,1.3537584999999998e-37,8.4673202e-26,3.3880203e-14,9.3583769e-09,5.495765e-07,1.809993e-45,5.5839226e-35,1.609818e-25,1.3971956999999999e-19,9.9216172e-16,4.8262031999999995e-56,4.7911635e-46,3.6130321999999996e-37,4.064393e-31,1.2013715000000001e-26,1.2430642e-17,1.4336224e-15,2.9608843e-08,2.2655016e-15,5.6133920000000006e-27
