case,leak_strength,leak_x,leak_y,leak_z,sensor_id,sensor_x,sensor_y,sensor_z,distance_to_leak,detection_time_threshold_0p01,max_H2_T,first_detector
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S01_ceiling_grid,0.8,0.6,2.8,4.882622246293481,,2.1706396e-41,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S02_ceiling_grid,2.4,0.6,2.8,4.019950248448356,,1.4454847e-28,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S03_ceiling_grid,4.0,0.6,2.8,3.6878177829171546,,3.7547193e-19,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S04_ceiling_grid,5.6,0.6,2.8,4.019950248448356,,1.5705326e-14,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S05_ceiling_grid,7.2,0.6,2.8,4.882622246293481,,6.9552517e-12,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S06_ceiling_grid,0.8,2.2,2.8,4.3266615305567875,,9.8177446e-33,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S07_ceiling_grid,2.4,2.2,2.8,3.3226495451672298,,1.2789696e-17,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S08_ceiling_grid,4.0,2.2,2.8,2.912043955712207,,2.721639e-07,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S09_ceiling_grid,5.6,2.2,2.8,3.3226495451672293,,0.00098310552,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S10_ceiling_grid,7.2,2.2,2.8,4.3266615305567875,,0.002080979,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S11_ceiling_grid,0.8,3.8,2.8,4.3266615305567875,,9.8177446e-33,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S12_ceiling_grid,2.4,3.8,2.8,3.3226495451672298,,1.2789696e-17,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S13_ceiling_grid,4.0,3.8,2.8,2.912043955712207,,2.721639e-07,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S14_ceiling_grid,5.6,3.8,2.8,3.3226495451672293,,0.00098310552,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S15_ceiling_grid,7.2,3.8,2.8,4.3266615305567875,,0.002080979,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S16_ceiling_grid,0.8,5.4,2.8,4.882622246293481,,2.1706344e-41,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S17_ceiling_grid,2.4,5.4,2.8,4.019950248448356,,1.4454846e-28,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S18_ceiling_grid,4.0,5.4,2.8,3.687817782917155,,3.7547193e-19,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S19_ceiling_grid,5.6,5.4,2.8,4.019950248448356,,1.5705326e-14,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S20_ceiling_grid,7.2,5.4,2.8,4.882622246293481,,6.9552689e-12,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S21_outlet_low,7.65,3.0,1.4,3.909283821878376,,0.00061264981,
leak_001_center_floor_medium,medium,4.0,3.0,0.0,S22_outlet_mid,7.65,3.0,2.1,4.210997506529777,46.0,0.013155637,
